employee_id,full_name,gender,department_id,job_title,hire_date,employee_status,termination_date,marital_status,email,base_salary
1001,Joseph Johnson,Female,4,IT Support Analyst,7/16/2025,Active,,,joseph.johnson@abcorp.com,175426.14
1002,Kimberly Lee,Female,1,HR Manager,22-Oct-30,Active,,Divorced,kimberly.lee@abcorp.com,224196.67
1003,Chukwuemeka Garcia,Female,10,Vendor Coordinator,6/22/2021,Terminated,,Single,chukwuemeka.garcia@abcorp.com,834254.18
1004,  Elizabeth Perez ,Male,9,Compliance Officer,16-Oct-31,Active,,Divorced,elizabeth.perez@abcorp.com,697691.4
1005,  Femi Balogun ,Female,7,Client Relations Officer,8/8/2016,Active,,Married,femi.balogun@abcorp.com,492747.06
1006,Karen White,Male,7,Call Center Lead,15-Sep-18,Active,,,karen.white@abcorp.com,
1007,Joseph Ibrahim,Female,3,  Brand Executive ,1/15/2014,Terminated,14-Dec-17,Married,joseph.ibrahim81@abcorp.com,661159.6
1008,  Bukola Anderson ,Male,2,Account Executive,6/13/2018,Active,,Married,BUKOLA.ANDERSON@ABCORP.COM,538792.37
1009,Mark Balogun,,5,  Payroll Officer ,7/22/2014,Active,,Widowed,mark.balogun@abcorp.com,
1010,  david williams ,Female,2,Sales Associate,1/9/2017,Terminated,6/12/2022,,david.williams@abcorp.com,528136.82
1011,MICHAEL CLARK,Male,1,HR BUSINESS PARTNER,2/3/2023,On Leave,,Single,michael.clark58@abcorp.com,296790.43
1012,Melissa Smith,Male,4,IT Support Analyst,19-Jul-23,Active,,Married,melissa.smith@abcorp.com,151724.3
1013,EDWARD MARTINEZ,Male,5,Accountant,15-Aug-28,Terminated,1/29/2021,,edward.martinez62@abcorp.com,832175.91
1014,  Jessica Martin ,Male,10,Buyer,15-Jun-12,Active,,Widowed,jessica.martin@abcorp.com,358612.56
1015,Elizabeth Smith,Female,10,Buyer,2/14/2016,Terminated,23-May-18,Divorced,ELIZABETH.SMITH@ABCORP.COM,345427.53
1016,Musa Sanchez,Male,3,Content Strategist,4/17/2016,Terminated,3/16/2022,Divorced,musa.sanchez44@abcorp.com,657390.37
1017,James Adekunle,Male,5,accountant,23-Apr-25,Terminated,23-Dec-24,,,210195.09
1018,Zainab Okonkwo,Male,6,  Operations Manager ,8/25/2022,Terminated,,Divorced,zainab.okonkwo@abcorp.com,646529.21
1019,Uche Danjuma,,5,accountant,10/23/2031,Active,,Widowed,uche.danjuma@abcorp.com,803269.28
1020,David Allen,Female,6,Process Engineer,6/19/2026,On Leave,,,david.allen34@abcorp.com,920027.45
